"";"pais";"año";"region";"comuna";"estimacion"
"1";"ALEMANIA";"2018";"ANTOFAGASTA";"ANTOFAGASTA";37
"2";"ALEMANIA";"2018";"ANTOFAGASTA";"CALAMA";16
"3";"ALEMANIA";"2018";"ARICA Y PARINACOTA";"ARICA";25
"4";"ALEMANIA";"2018";"ATACAMA";"COPIAPÓ";17
"5";"ALEMANIA";"2018";"BIOBÍO";"CONCEPCIÓN";125
"6";"ALEMANIA";"2018";"COQUIMBO";"COQUIMBO";26
"7";"ALEMANIA";"2018";"COQUIMBO";"LA SERENA";69
"8";"ALEMANIA";"2018";"LA ARAUCANÍA";"TEMUCO";112
"9";"ALEMANIA";"2018";"LIBERTADOR GENERAL BERNARDO O'HIGGINS";"RANCAGUA";16
"10";"ALEMANIA";"2018";"LOS LAGOS";"PUERTO MONTT";47
"11";"ALEMANIA";"2018";"MAULE";"CURICÓ";11
"12";"ALEMANIA";"2018";"MAULE";"TALCA";54
"13";"ALEMANIA";"2018";"METROPOLITANA DE SANTIAGO";"CERRO NAVIA";3
"14";"ALEMANIA";"2018";"METROPOLITANA DE SANTIAGO";"COLINA";87
"15";"ALEMANIA";"2018";"METROPOLITANA DE SANTIAGO";"CONCHALÍ";6
"16";"ALEMANIA";"2018";"METROPOLITANA DE SANTIAGO";"ESTACIÓN CENTRAL";22
"17";"ALEMANIA";"2018";"METROPOLITANA DE SANTIAGO";"INDEPENDENCIA";15
"18";"ALEMANIA";"2018";"METROPOLITANA DE SANTIAGO";"LA CISTERNA";3
"19";"ALEMANIA";"2018";"METROPOLITANA DE SANTIAGO";"LA FLORIDA";96
"20";"ALEMANIA";"2018";"METROPOLITANA DE SANTIAGO";"LAS CONDES";795
"21";"ALEMANIA";"2018";"METROPOLITANA DE SANTIAGO";"LO BARNECHEA";212
"22";"ALEMANIA";"2018";"METROPOLITANA DE SANTIAGO";"LO PRADO";1
"23";"ALEMANIA";"2018";"METROPOLITANA DE SANTIAGO";"MACUL";32
"24";"ALEMANIA";"2018";"METROPOLITANA DE SANTIAGO";"MAIPÚ";37
"25";"ALEMANIA";"2018";"METROPOLITANA DE SANTIAGO";"MELIPILLA";5
"26";"ALEMANIA";"2018";"METROPOLITANA DE SANTIAGO";"PEÑALOLÉN";88
"27";"ALEMANIA";"2018";"METROPOLITANA DE SANTIAGO";"PROVIDENCIA";556
"28";"ALEMANIA";"2018";"METROPOLITANA DE SANTIAGO";"PUDAHUEL";12
"29";"ALEMANIA";"2018";"METROPOLITANA DE SANTIAGO";"PUENTE ALTO";48
"30";"ALEMANIA";"2018";"METROPOLITANA DE SANTIAGO";"QUILICURA";15
"31";"ALEMANIA";"2018";"METROPOLITANA DE SANTIAGO";"QUINTA NORMAL";13
"32";"ALEMANIA";"2018";"METROPOLITANA DE SANTIAGO";"RECOLETA";40
"33";"ALEMANIA";"2018";"METROPOLITANA DE SANTIAGO";"SAN BERNARDO";25
"34";"ALEMANIA";"2018";"METROPOLITANA DE SANTIAGO";"SAN JOAQUÍN";13
"35";"ALEMANIA";"2018";"METROPOLITANA DE SANTIAGO";"SAN MIGUEL";23
"36";"ALEMANIA";"2018";"METROPOLITANA DE SANTIAGO";"SANTIAGO";295
"37";"ALEMANIA";"2018";"METROPOLITANA DE SANTIAGO";"VITACURA";455
"38";"ALEMANIA";"2018";"METROPOLITANA DE SANTIAGO";"ÑUÑOA";320
"39";"ALEMANIA";"2018";"TARAPACÁ";"ALTO HOSPICIO";2
"40";"ALEMANIA";"2018";"TARAPACÁ";"IQUIQUE";37
"41";"ALEMANIA";"2018";"VALPARAÍSO";"VALPARAÍSO";143
"42";"ALEMANIA";"2018";"VALPARAÍSO";"VIÑA DEL MAR";289
"43";"ALEMANIA";"2019";"ANTOFAGASTA";"ANTOFAGASTA";37
"44";"ALEMANIA";"2019";"ANTOFAGASTA";"CALAMA";17
"45";"ALEMANIA";"2019";"ARICA Y PARINACOTA";"ARICA";27
"46";"ALEMANIA";"2019";"ATACAMA";"COPIAPÓ";18
"47";"ALEMANIA";"2019";"BIOBÍO";"CONCEPCIÓN";132
"48";"ALEMANIA";"2019";"COQUIMBO";"COQUIMBO";27
"49";"ALEMANIA";"2019";"COQUIMBO";"LA SERENA";73
"50";"ALEMANIA";"2019";"LA ARAUCANÍA";"TEMUCO";115
"51";"ALEMANIA";"2019";"LIBERTADOR GENERAL BERNARDO O'HIGGINS";"RANCAGUA";16
"52";"ALEMANIA";"2019";"LOS LAGOS";"PUERTO MONTT";48
"53";"ALEMANIA";"2019";"MAULE";"CURICÓ";12
"54";"ALEMANIA";"2019";"MAULE";"TALCA";53
"55";"ALEMANIA";"2019";"METROPOLITANA DE SANTIAGO";"CERRO NAVIA";3
"56";"ALEMANIA";"2019";"METROPOLITANA DE SANTIAGO";"COLINA";86
"57";"ALEMANIA";"2019";"METROPOLITANA DE SANTIAGO";"CONCHALÍ";5
"58";"ALEMANIA";"2019";"METROPOLITANA DE SANTIAGO";"ESTACIÓN CENTRAL";22
"59";"ALEMANIA";"2019";"METROPOLITANA DE SANTIAGO";"INDEPENDENCIA";15
"60";"ALEMANIA";"2019";"METROPOLITANA DE SANTIAGO";"LA CISTERNA";3
"61";"ALEMANIA";"2019";"METROPOLITANA DE SANTIAGO";"LA FLORIDA";96
"62";"ALEMANIA";"2019";"METROPOLITANA DE SANTIAGO";"LAS CONDES";810
"63";"ALEMANIA";"2019";"METROPOLITANA DE SANTIAGO";"LO BARNECHEA";211
"64";"ALEMANIA";"2019";"METROPOLITANA DE SANTIAGO";"LO PRADO";1
"65";"ALEMANIA";"2019";"METROPOLITANA DE SANTIAGO";"MACUL";32
"66";"ALEMANIA";"2019";"METROPOLITANA DE SANTIAGO";"MAIPÚ";38
"67";"ALEMANIA";"2019";"METROPOLITANA DE SANTIAGO";"MELIPILLA";5
"68";"ALEMANIA";"2019";"METROPOLITANA DE SANTIAGO";"PEÑALOLÉN";89
"69";"ALEMANIA";"2019";"METROPOLITANA DE SANTIAGO";"PROVIDENCIA";568
"70";"ALEMANIA";"2019";"METROPOLITANA DE SANTIAGO";"PUDAHUEL";12
"71";"ALEMANIA";"2019";"METROPOLITANA DE SANTIAGO";"PUENTE ALTO";52
"72";"ALEMANIA";"2019";"METROPOLITANA DE SANTIAGO";"QUILICURA";15
"73";"ALEMANIA";"2019";"METROPOLITANA DE SANTIAGO";"QUINTA NORMAL";15
"74";"ALEMANIA";"2019";"METROPOLITANA DE SANTIAGO";"RECOLETA";41
"75";"ALEMANIA";"2019";"METROPOLITANA DE SANTIAGO";"SAN BERNARDO";25
"76";"ALEMANIA";"2019";"METROPOLITANA DE SANTIAGO";"SAN JOAQUÍN";13
"77";"ALEMANIA";"2019";"METROPOLITANA DE SANTIAGO";"SAN MIGUEL";23
