"";"pais";"año";"estimacion";"cut_comuna";"comuna";"cut_region";"region"
"1";"ALEMANIA";"2018";37;2101;"Antofagasta";2;"Antofagasta"
"2";"ALEMANIA";"2018";16;2201;"Calama";2;"Antofagasta"
"3";"ALEMANIA";"2018";25;15101;"Arica";15;"Arica y Parinacota"
"4";"ALEMANIA";"2018";17;3101;"Copiapó";3;"Atacama"
"5";"ALEMANIA";"2018";125;8101;"Concepción";8;"Biobío"
"6";"ALEMANIA";"2018";26;4102;"Coquimbo";4;"Coquimbo"
"7";"ALEMANIA";"2018";69;4101;"La Serena";4;"Coquimbo"
"8";"ALEMANIA";"2018";112;9101;"Temuco";9;"La Araucanía"
"9";"ALEMANIA";"2018";16;6101;"Rancagua";6;"Libertador Gral. Bernardo O'Higgins"
"10";"ALEMANIA";"2018";47;10101;"Puerto Montt";10;"Los Lagos"
"11";"ALEMANIA";"2018";11;7301;"Curicó";7;"Maule"
"12";"ALEMANIA";"2018";54;7101;"Talca";7;"Maule"
"13";"ALEMANIA";"2018";3;13103;"Cerro Navia";13;"Metropolitana de Santiago"
"14";"ALEMANIA";"2018";87;13301;"Colina";13;"Metropolitana de Santiago"
"15";"ALEMANIA";"2018";6;13104;"Conchalí";13;"Metropolitana de Santiago"
"16";"ALEMANIA";"2018";22;13106;"Estación Central";13;"Metropolitana de Santiago"
"17";"ALEMANIA";"2018";15;13108;"Independencia";13;"Metropolitana de Santiago"
"18";"ALEMANIA";"2018";3;13109;"La Cisterna";13;"Metropolitana de Santiago"
"19";"ALEMANIA";"2018";96;13110;"La Florida";13;"Metropolitana de Santiago"
"20";"ALEMANIA";"2018";795;13114;"Las Condes";13;"Metropolitana de Santiago"
"21";"ALEMANIA";"2018";212;13115;"Lo Barnechea";13;"Metropolitana de Santiago"
"22";"ALEMANIA";"2018";1;13117;"Lo Prado";13;"Metropolitana de Santiago"
"23";"ALEMANIA";"2018";32;13118;"Macul";13;"Metropolitana de Santiago"
"24";"ALEMANIA";"2018";37;13119;"Maipú";13;"Metropolitana de Santiago"
"25";"ALEMANIA";"2018";5;13501;"Melipilla";13;"Metropolitana de Santiago"
"26";"ALEMANIA";"2018";88;13122;"Peñalolén";13;"Metropolitana de Santiago"
"27";"ALEMANIA";"2018";556;13123;"Providencia";13;"Metropolitana de Santiago"
"28";"ALEMANIA";"2018";12;13124;"Pudahuel";13;"Metropolitana de Santiago"
"29";"ALEMANIA";"2018";48;13201;"Puente Alto";13;"Metropolitana de Santiago"
"30";"ALEMANIA";"2018";15;13125;"Quilicura";13;"Metropolitana de Santiago"
"31";"ALEMANIA";"2018";13;13126;"Quinta Normal";13;"Metropolitana de Santiago"
"32";"ALEMANIA";"2018";40;13127;"Recoleta";13;"Metropolitana de Santiago"
"33";"ALEMANIA";"2018";25;13401;"San Bernardo";13;"Metropolitana de Santiago"
"34";"ALEMANIA";"2018";13;13129;"San Joaquín";13;"Metropolitana de Santiago"
"35";"ALEMANIA";"2018";23;13130;"San Miguel";13;"Metropolitana de Santiago"
