"";"comuna";"pais";"año";"n";"residencia";"estado"
"1";"Algarrobo";"Argentina";2023;2;"Temporal";"Otorgadas"
"2";"Algarrobo";"Colombia";2023;3;"Temporal";"Otorgadas"
"3";"Algarrobo";"Ecuador";2023;2;"Temporal";"Otorgadas"
"4";"Algarrobo";"Egipto";2023;1;"Temporal";"Otorgadas"
"5";"Algarrobo";"Perú";2023;1;"Temporal";"Otorgadas"
"6";"Algarrobo";"Reino Unido";2023;1;"Temporal";"Otorgadas"
"7";"Algarrobo";"Tailandia";2023;1;"Temporal";"Otorgadas"
"8";"Algarrobo";"Venezuela";2023;16;"Temporal";"Otorgadas"
"9";"Alhué";"Bolivia";2023;9;"Temporal";"Otorgadas"
"10";"Alhué";"Colombia";2023;1;"Temporal";"Otorgadas"
"11";"Alhué";"Ecuador";2023;1;"Temporal";"Otorgadas"
"12";"Alhué";"Haití";2023;2;"Temporal";"Otorgadas"
"13";"Alhué";"Inglaterra";2023;1;"Temporal";"Otorgadas"
"14";"Alhué";"Perú";2023;3;"Temporal";"Otorgadas"
"15";"Alhué";"República Dominicana";2023;1;"Temporal";"Otorgadas"
"16";"Alhué";"Venezuela";2023;7;"Temporal";"Otorgadas"
"17";"Alto Hospicio";"Argentina";2023;16;"Temporal";"Otorgadas"
"18";"Alto Hospicio";"Bolivia";2023;1005;"Temporal";"Otorgadas"
"19";"Alto Hospicio";"Brasil";2023;2;"Temporal";"Otorgadas"
"20";"Alto Hospicio";"Colombia";2023;144;"Temporal";"Otorgadas"
"21";"Alto Hospicio";"Corea del Sur";2023;1;"Temporal";"Otorgadas"
"22";"Alto Hospicio";"Cuba";2023;7;"Temporal";"Otorgadas"
"23";"Alto Hospicio";"Ecuador";2023;62;"Temporal";"Otorgadas"
"24";"Alto Hospicio";"El Salvador";2023;1;"Temporal";"Otorgadas"
"25";"Alto Hospicio";"España";2023;1;"Temporal";"Otorgadas"
"26";"Alto Hospicio";"Haití";2023;4;"Temporal";"Otorgadas"
"27";"Alto Hospicio";"Nicaragua";2023;2;"Temporal";"Otorgadas"
"28";"Alto Hospicio";"Pakistán";2023;3;"Temporal";"Otorgadas"
"29";"Alto Hospicio";"Paraguay";2023;5;"Temporal";"Otorgadas"
"30";"Alto Hospicio";"Perú";2023;169;"Temporal";"Otorgadas"
"31";"Alto Hospicio";"República Dominicana";2023;3;"Temporal";"Otorgadas"
"32";"Alto Hospicio";"Rusia";2023;1;"Temporal";"Otorgadas"
"33";"Alto Hospicio";"Venezuela";2023;65;"Temporal";"Otorgadas"
"34";"Ancud";"Argentina";2023;3;"Temporal";"Otorgadas"
"35";"Ancud";"Colombia";2023;5;"Temporal";"Otorgadas"
"36";"Ancud";"Cuba";2023;2;"Temporal";"Otorgadas"
"37";"Ancud";"Ecuador";2023;4;"Temporal";"Otorgadas"
"38";"Ancud";"Paraguay";2023;1;"Temporal";"Otorgadas"
"39";"Ancud";"República Dominicana";2023;6;"Temporal";"Otorgadas"
"40";"Ancud";"Venezuela";2023;14;"Temporal";"Otorgadas"
